image_paths,cluster,dist
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__38400_20200.tif,18,181
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__13400_24000.tif,35,223
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__25200_17800.tif,14,115
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__37800_58600.tif,47,183
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__10000_16600.tif,41,226
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__29200_36600.tif,22,235
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__27600_57600.tif,2,71
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__10000_49800.tif,3,64
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__20000_52000.tif,30,213
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__16600_61800.tif,8,107
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__0_21200.tif,3,112
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__17600_13000.tif,13,99
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__6800_59400.tif,4,83
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__21000_20800.tif,24,117
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__24400_42000.tif,35,266
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__30200_9600.tif,7,123
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__27800_44400.tif,44,203
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__25400_30800.tif,48,230
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__23200_18800.tif,14,174
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__6600_15800.tif,48,161
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__400_17400.tif,8,91
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__23200_47600.tif,19,225
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__14400_59800.tif,4,75
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__31000_63400.tif,8,106
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__19400_55000.tif,0,68
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__16000_46800.tif,45,133
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__23800_4600.tif,12,93
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__32400_51200.tif,47,197
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__4200_55600.tif,1,57
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__21600_58600.tif,3,61
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__20600_400.tif,21,170
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__16000_19600.tif,31,143
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__31800_57600.tif,46,193
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__18400_27800.tif,23,130
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__17000_34000.tif,19,197
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__2400_22800.tif,9,67
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__29400_11600.tif,28,237
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__4600_3400.tif,23,159
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__10600_31600.tif,8,51
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__10000_8200.tif,13,114
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__35200_54400.tif,27,259
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__3400_50000.tif,4,54
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__1000_2000.tif,7,94
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__40800_11600.tif,12,86
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__15600_9600.tif,15,87
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__40000_25400.tif,11,87
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__35400_8200.tif,18,169
