image_paths,cluster,dist
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__0_2400.tif,24,98
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__41000_61600.tif,17,95
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__21600_5600.tif,8,73
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__43400_21800.tif,11,95
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__41800_55400.tif,9,88
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__42400_53000.tif,21,79
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__45200_56600.tif,13,72
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__41600_46600.tif,5,73
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__41600_19800.tif,6,86
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__3600_3000.tif,9,62
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__17200_2800.tif,16,83
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__43200_59600.tif,4,88
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__40400_36200.tif,14,81
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__43800_30600.tif,30,113
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__29800_400.tif,43,113
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__43000_4600.tif,48,248
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__35000_1000.tif,12,104
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__29200_6000.tif,15,89
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__42000_29200.tif,7,66
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__44800_12000.tif,14,88
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__10800_7200.tif,47,188
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__40200_11200.tif,32,101
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__43600_23400.tif,29,109
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__44000_26200.tif,8,65
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__35000_60200.tif,26,120
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__27200_44000.tif,2,64
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__28600_57800.tif,5,71
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__26200_36800.tif,39,109
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__29600_25000.tif,41,141
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__3600_33400.tif,19,70
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__38800_58800.tif,2,58
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__11400_28600.tif,1,65
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__23800_47200.tif,26,111
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__9800_51600.tif,10,88
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__4000_36200.tif,0,79
/jupyter-nfs/data/Liberia/rural/southeast_tiles/Sanniquellie_SE__19600_61600.tif,10,66
