y_score,y_test
5.1216865701124305e-15,0
2.7253874387568353e-18,0
6.529036315100988e-19,0
3.1208232177370573e-19,0
1.3095879002395963e-12,0
2.1926723378936567e-19,0
3.285730811195047e-17,0
1.322624507424686e-15,0
1.7828742528202868e-20,0
2.6530446400528956e-19,0
3.31504217074401e-13,0
1.2825861107978417e-17,0
1.2958523583419744e-19,0
2.6460163087286068e-17,0
1.1368889432526504e-17,0
5.8383652286605004e-21,0
8.025257080843717e-15,0
5.068695207767814e-21,0
5.1430587138117376e-20,0
1.1414065336235937e-17,0
3.0737687815739914e-08,0
8.392412696782056e-20,0
3.2478363612309445e-12,0
7.997722991488843e-17,0
2.542543514326008e-11,0
2.5061780710909788e-17,0
5.08999098791983e-15,0
1.2559016937781368e-18,0
6.687165660531246e-16,0
5.825361131446418e-14,0
1.577108801678698e-17,0
4.020376984673954e-20,0
1.0712751070459802e-18,0
6.225364862577645e-16,0
3.539981697797774e-15,0
5.137416811848225e-18,0
1.0817198409822991e-19,0
6.575106415837316e-18,0
3.290174826100353e-16,0
2.606658713977315e-18,0
1.6287168296293872e-11,0
6.664604331332089e-20,0
3.1540223308145994e-15,0
4.159459785851171e-13,0
4.995231139192484e-16,0
4.504117360549861e-19,0
2.816268826835091e-13,0
1.6752409655527816e-11,0
6.196917478342069e-19,0
4.931658020339871e-15,0
6.48766369571515e-15,0
3.6238553336072106e-15,0
1.9223459739751297e-17,0
3.682204092537842e-19,0
1.296495521972877e-13,0
3.34471258155889e-19,0
3.427513505886627e-16,0
6.997523207944146e-16,0
2.3061164252042587e-23,0
2.1601186470064976e-21,0
6.636996182242987e-16,0
9.094087007503808e-16,0
9.78931464644672e-25,0
1.932632835474455e-16,0
4.2233264007889204e-18,0
1.8994771026906347e-20,0
5.228876817043723e-18,0
4.9126041568579246e-17,0
2.1103405148119074e-07,0
5.600813360850551e-17,0
3.7183783312767325e-14,0
1.1679448612226387e-15,0
1.9510298605699363e-16,0
6.691080341621689e-14,0
1.7017213966537844e-16,0
2.2148577371465849e-16,0
3.650422418834081e-09,0
6.204721812612468e-16,0
2.703939000526313e-15,0
1.3629164823888345e-18,0
4.316009219840569e-17,0
6.545518531338833e-17,0
3.1782541237837454e-17,0
5.510487774534187e-18,0
3.017416611465487e-18,0
2.783610314422532e-17,0
3.1472043058981035e-15,0
8.677229659973164e-17,0
1.0117021197179363e-18,0
1.6584125035438908e-15,0
4.355960452644579e-19,0
1.9142304180501196e-12,0
7.633616987573111e-21,0
2.380461013606673e-19,0
9.650933880023067e-13,0
1.9862261052007187e-18,0
2.1621877188578914e-16,0
2.093281584207708e-17,0
2.005244076937759e-19,0
3.416727260225577e-16,0
6.893544087488055e-18,0
2.1737534933170373e-14,0
1.678807051544048e-14,0
1.191330711029265e-21,0
2.2610553895823264e-18,0
1.5993001009371142e-18,0
4.316182368423916e-18,0
1.3946295373000986e-22,0
2.890665490569807e-18,0
1.5784610114397098e-18,0
6.170519011655356e-08,0
1.821787561608206e-16,0
2.7183760760040436e-17,0
1.7460693008338322e-19,0
2.637984059715804e-16,0
1.577080583986484e-15,0
1.9580912239567457e-19,0
3.368818685131994e-18,0
