image_paths,cluster,dist
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__1200_12200.tif,67,207
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__37400_16600.tif,12,66
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__25600_32400.tif,96,160
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__39000_28800.tif,22,78
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__37400_49800.tif,92,167
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__34800_10200.tif,30,204
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__31200_61800.tif,15,65
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__5800_11000.tif,23,97
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__32400_7600.tif,12,100
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__4800_63800.tif,1,73
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__6400_17400.tif,96,154
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__600_15800.tif,36,222
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__30200_13000.tif,26,135
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__22000_37200.tif,80,213
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__8800_42600.tif,87,148
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__5000_25200.tif,0,99
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__20400_28200.tif,68,163
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__33600_21600.tif,22,96
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__12600_6200.tif,18,113
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__18600_25400.tif,91,218
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__16200_44400.tif,78,166
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__11400_41200.tif,37,140
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__28600_61200.tif,21,99
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__12800_18800.tif,77,167
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__35000_56800.tif,79,118
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__2600_20400.tif,11,89
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__39800_43400.tif,71,268
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__34000_24000.tif,45,162
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__6600_1800.tif,75,197
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__12800_47600.tif,60,288
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__9800_7400.tif,77,233
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__15000_51200.tif,6,62
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__18800_36600.tif,96,183
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__8600_51400.tif,10,57
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__31400_46800.tif,95,191
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__33800_32400.tif,69,157
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__30400_34000.tif,73,181
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__6200_30400.tif,0,65
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__31400_19600.tif,69,164
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__22600_10200.tif,17,99
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__37200_31600.tif,31,128
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__24000_38200.tif,99,143
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__1400_35200.tif,16,42
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__18200_7800.tif,27,94
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__25000_15400.tif,33,110
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__12600_54400.tif,7,36
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__2800_33600.tif,0,68
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__39600_50600.tif,75,176
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__28000_46200.tif,61,181
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__25800_21600.tif,96,197
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__26400_27200.tif,28,101
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__14800_48600.tif,60,264
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__800_59400.tif,4,41
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__15800_65000.tif,20,0
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__21200_22400.tif,54,139
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__16400_63400.tif,9,117
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__33000_59800.tif,91,165
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__14800_17800.tif,40,135
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__200_30400.tif,0,60
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__6000_32800.tif,0,67
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__9400_21000.tif,83,131
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__14200_21600.tif,84,142
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__23400_60600.tif,5,34
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__7000_40000.tif,11,82
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__8400_53800.tif,3,79
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__31600_44400.tif,89,144
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__24200_65000.tif,20,0
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__12400_56800.tif,3,69
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__26200_3000.tif,33,124
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__10800_22400.tif,86,123
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__25200_48600.tif,63,207
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__36000_41200.tif,96,159
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__38400_20200.tif,30,171
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__13400_24000.tif,70,212
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__25200_17800.tif,40,108
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__37800_58600.tif,92,180
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__10000_16600.tif,85,220
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__29200_36600.tif,62,226
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__27600_57600.tif,7,50
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__10000_49800.tif,5,53
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__20000_52000.tif,60,214
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__16600_61800.tif,19,112
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__0_21200.tif,5,104
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__17600_13000.tif,29,95
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__6800_59400.tif,3,57
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__21000_20800.tif,59,129
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__24400_42000.tif,74,263
/jupyter-nfs/data/Liberia/tiles20161121/mon_20161121__30200_9600.tif,12,115
